Fuel_consumption,Engine_speed,Engine_coolant_temperature,Current_Gear,Transmission oil temperature,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Time(s)
448,924,87,1,88,5,-0.3,2,123
422.4,805,87,1,88,3,-0.5,2,124
460.8,789,87,1,88,2,-0.1,2,125
448,795,87,1,88,3,0.3,1,126
678.4,1138,87,1,88,5,0.6,1,127
742.4,1376,87,1,88,7,0.4,1,128
1216,1891,87,1,88,11,0.7,1,129
1984,2090,88,2,88,16,1.1,1,130
2649.6,2333,88,2,88,22,1.2,1,131
2803.2,2817,87,2,88,28,0.9,1,132
716.8,2018,87,3,88,32,-0.1,1,133
716.8,1630,87,4,88,34,-0.3,2,134
665.6,1713,87,4,88,35,-1.1,2,135
601.6,1657,87,4,88,34,-1.6,2,136
204.8,1367,87,4,88,31,-2.2,2,137
332.8,1306,87,4,88,28,-2.4,2,138
345.6,940,87,4,88,24,-1.9,2,139
345.6,908,87,3,88,22,-1.7,2,140
486.4,1178,87,3,88,20,-1.7,2,141
435.2,1099,87,3,88,18,-2.1,2,142
422.4,977,87,3,88,15,-2.1,2,143
460.8,889,87,3,88,11,-2.1,2,144
460.8,835,87,3,88,7,-2.6,2,145
460.8,801,87,1,88,2,-2.3,2,146
435.2,753,87,1,88,0,-1.5,2,147
384,689,87,1,88,0,-1.1,2,148
371.2,680,87,1,88,0,-1.1,2,149
358.4,679,87,1,88,0,-1.1,2,150
371.2,678,87,1,88,0,-1.1,2,151
358.4,676,87,1,88,0,-1.1,2,152
358.4,673,87,1,88,0,-1.1,2,153
358.4,671,87,1,88,0,-1.1,2,154
358.4,672,87,1,88,0,-1.1,2,155
358.4,671,87,1,88,0,-1.1,2,156
358.4,671,87,1,88,0,-1.1,2,157
371.2,671,87,1,88,0,-1.1,2,158
358.4,671,87,1,88,0,-1.1,2,159
358.4,672,87,1,88,0,-1.1,2,160
371.2,670,87,1,88,0,-1.1,2,161
358.4,670,87,1,88,0,-1.1,2,162
371.2,668,87,1,88,0,-1.1,2,163
371.2,669,87,1,88,0,-1.1,2,164
371.2,669,87,1,88,0,-1.1,2,165
371.2,670,87,1,88,0,-1.1,2,166
371.2,670,87,1,88,0,-1.1,2,167
371.2,669,87,1,88,0,-1.1,2,168
371.2,666,87,1,88,0,-1.1,2,169
384,667,87,1,88,0,-1.1,2,170
371.2,667,87,1,88,0,-1.1,2,171
371.2,668,87,1,88,0,-1.1,2,172
371.2,666,87,1,88,0,-1.1,2,173
384,668,87,1,88,0,-1.1,2,174
371.2,670,87,1,88,0,-1.1,2,175
371.2,669,87,1,88,0,-1.1,2,176
384,670,87,1,88,0,-1.1,2,177
371.2,670,87,1,88,0,-1.1,2,178
371.2,672,87,1,88,0,-1.1,2,179
384,669,87,1,88,0,-1.1,2,180
371.2,670,87,1,88,0,-1.1,2,181
371.2,668,87,1,88,0,-1.1,2,182
384,669,87,1,88,0,-1.1,2,183
371.2,668,87,1,88,0,-1.1,2,184
371.2,668,87,1,88,0,-1.1,2,185
384,667,87,1,88,0,-1.1,2,186
371.2,669,87,1,88,0,-1.1,2,187
358.4,671,87,1,88,0,-1.1,2,188
384,669,87,1,88,0,-1.1,2,189
371.2,668,87,1,88,0,-1.1,2,190
371.2,669,87,1,88,0,-1.1,2,191
371.2,669,87,1,88,0,-1.1,2,192
371.2,669,87,1,88,0,-1.1,2,193
371.2,668,87,1,88,0,-1.1,2,194
371.2,671,87,1,88,0,-1.1,2,195
384,669,87,1,88,0,-1.1,2,196
371.2,669,87,1,88,0,-1.1,2,197
384,671,87,1,88,0,-1.1,2,198
371.2,668,87,1,88,0,-1.1,2,199
371.2,672,87,1,88,0,-1.1,2,200
371.2,670,87,1,88,0,-1.1,2,201
371.2,671,87,1,88,0,-1.1,2,202
371.2,670,87,1,88,0,-1.1,2,203
384,670,87,1,88,0,-1.1,2,204
371.2,670,87,1,88,0,-1.1,2,205
371.2,670,87,1,88,0,-1.1,2,206
371.2,672,87,1,88,0,-1.1,2,207
371.2,679,87,1,88,1,0,1,208
486.4,900,87,1,88,5,-0.1,1,209
409.6,1016,87,1,88,8,-0.2,1,210
422.4,1069,87,1,88,12,-0.2,1,211
409.6,1134,87,2,88,14,-0.4,1,212
384,1350,87,2,88,16,-0.7,2,213
320,1151,87,2,88,17,-1.1,2,214
332.8,1102,87,2,88,17,-0.9,2,215
448,1320,87,2,88,18,-0.6,1,216
883.2,1967,87,2,88,20,-0.1,1,217
1574.4,1894,87,3,88,22,0.6,1,218
1804.8,1917,87,3,88,25,0.7,1,219
1920,1948,86,3,88,28,0.7,1,220
1497.6,1978,86,3,88,31,0.4,1,221
691.2,1672,86,4,88,31,0,1,222
371.2,1419,85,4,88,30,-0.4,1,223
435.2,1420,85,4,88,29,-0.2,1,224
691.2,1491,84,4,88,29,0,1,225
1164.8,1685,84,4,88,30,0.3,1,226
1420.8,1792,84,4,88,31,0.4,1,227
1484.8,1726,84,4,88,32,0.5,1,228
1382.4,1654,84,4,88,34,0.4,1,229
1267.2,1667,84,4,88,35,0.4,1,230
640,1620,84,4,88,34,-0.1,1,231
166.4,1460,84,4,88,33,-0.6,1,232
0,1453,84,4,88,30,-0.6,1,233
1024,1592,84,4,88,29,0.1,1,234
1497.6,1818,84,4,88,30,0.5,1,235
409.6,1392,84,4,88,30,-0.3,2,236
358.4,1224,84,4,88,27,-1.1,2,237
345.6,998,84,4,88,21,-2,2,238
396.8,990,84,3,88,16,-1.3,2,239
435.2,928,84,3,88,13,-0.9,2,240
435.2,864,85,3,88,11,-0.6,2,241
422.4,840,85,3,88,11,-0.2,2,242
409.6,841,85,3,88,11,-0.1,1,243
371.2,862,85,3,88,13,-0.1,1,244
371.2,915,85,3,88,14,-0.2,1,245
358.4,958,85,3,88,16,-0.2,1,246
460.8,1168,85,3,88,17,-0.1,1,247
358.4,1110,85,3,88,19,-0.3,1,248
345.6,1116,85,3,88,20,-0.3,1,249
371.2,1179,85,3,88,21,-0.3,1,250
486.4,1455,86,3,88,23,-0.2,1,251
448,1508,86,3,88,24,-0.2,1,252
486.4,1595,86,3,88,25,-0.2,1,253
422.4,1487,86,3,88,26,-0.4,1,254
422.4,1475,86,3,88,27,-0.5,1,255
409.6,1496,86,3,88,28,-0.4,2,256
384,1472,86,3,88,28,-0.7,2,257
384,1472,86,3,89,28,-0.6,1,258
576,1727,85,3,89,28,-0.2,1,259
1164.8,1910,85,3,89,28,0.3,1,260
883.2,1884,85,3,89,29,0.1,1,261
1203.2,2022,85,3,89,30,0.3,1,262
985.6,1981,84,3,89,31,0.1,1,263
729.6,1598,84,4,89,31,0,1,264
806.4,1579,84,4,89,32,0.1,1,265
1254.4,1619,84,4,89,33,0.4,1,266
1651.2,1727,84,4,89,36,0.6,1,267
1369.6,1824,84,4,89,38,0.3,1,268
422.4,1802,84,4,89,38,-0.3,1,269
883.2,1832,84,4,89,38,0.1,1,270
1036.8,1873,84,4,89,39,0.1,1,271
908.8,1903,84,4,89,40,0,1,272
345.6,1871,84,4,89,39,-0.5,1,273
422.4,1847,84,4,89,38,-0.2,1,274
652.8,1842,84,4,89,38,-0.1,1,275
793.6,1856,84,4,89,38,0,1,276
678.4,1847,84,4,89,39,-0.1,1,277
358.4,1774,84,4,89,38,-0.4,1,278
1113.6,1858,84,4,89,38,0.2,1,279
576,1823,84,4,89,38,-0.3,2,280
166.4,1765,84,4,89,37,-0.7,2,281
51.2,1692,84,4,89,35,-0.5,1,282
537.6,1668,84,4,89,35,-0.1,1,283
448,1611,84,4,89,34,-0.3,1,284
320,1528,84,4,89,34,-0.5,1,285
192,1565,84,4,89,32,-0.4,1,286
524.8,1518,84,4,89,32,-0.2,1,287
473.6,1527,84,4,89,32,-0.2,1,288
1216,1575,84,4,89,32,0.3,1,289
729.6,1574,84,4,89,33,-0.1,1,290
140.8,1538,84,4,89,32,-0.5,1,291
0,1466,84,4,89,31,-0.5,2,292
0,1385,84,4,89,29,-0.6,2,293
12.8,1259,84,4,89,27,-0.6,2,294
307.2,977,84,4,89,26,-0.4,2,295
345.6,978,84,4,89,25,-0.8,2,296
358.4,939,84,4,89,21,-1.5,2,297
409.6,1020,84,3,89,17,-1.6,2,298
460.8,922,84,3,89,12,-1.5,2,299
460.8,855,84,3,89,8,-1.6,2,300
435.2,808,84,1,89,3,-1.4,2,301
396.8,763,84,1,89,0,-0.5,2,302
332.8,681,84,1,89,0,-0.1,2,303
345.6,678,84,1,89,0,-0.1,2,304
332.8,672,84,1,89,0,-0.1,2,305
345.6,668,84,1,89,0,-0.1,2,306
332.8,667,84,1,89,0,-0.1,2,307
332.8,667,84,1,89,0,-0.1,2,308
345.6,670,84,1,89,0,-0.1,2,309
332.8,664,85,1,89,0,-0.1,2,310
345.6,663,85,1,89,0,-0.1,2,311
332.8,666,85,1,89,0,-0.1,2,312
332.8,667,85,1,89,0,-0.1,2,313
345.6,664,86,1,89,0,-0.1,2,314
358.4,669,86,1,89,0,-0.1,2,315
345.6,662,86,1,89,0,-0.1,2,316
345.6,665,86,1,89,0,-0.1,2,317
345.6,664,86,1,89,0,-0.1,2,318
345.6,665,87,1,89,0,-0.1,2,319
358.4,666,87,1,89,0,-0.1,2,320
358.4,666,87,1,89,0,-0.1,2,321
345.6,670,87,1,89,0,-0.1,2,322
358.4,671,87,1,89,0,-0.1,2,323
345.6,668,87,1,89,0,-0.1,2,324
345.6,664,87,1,89,0,-0.1,2,325
345.6,667,87,1,89,0,-0.1,2,326
345.6,672,87,1,89,0,-0.1,2,327
358.4,668,87,1,89,0,-0.1,2,328
345.6,672,87,1,89,0,-0.1,2,329
358.4,665,87,1,89,0,-0.1,2,330
358.4,675,87,1,89,0,-0.1,2,331
345.6,666,87,1,89,0,-0.1,2,332
358.4,669,87,1,89,0,-0.1,2,333
358.4,673,87,1,89,0,-0.1,2,334
345.6,668,88,1,89,0,-0.1,2,335
358.4,670,88,1,89,0,-0.1,2,336
358.4,665,88,1,89,0,-0.1,2,337
345.6,672,88,1,89,0,-0.1,2,338
358.4,667,88,1,89,0,-0.1,2,339
371.2,669,88,1,89,0,-0.1,2,340
358.4,669,88,1,89,0,-0.1,2,341
358.4,672,88,1,89,0,0.1,2,342
358.4,679,88,1,89,0,0.2,2,343
345.6,666,88,1,89,0,-0.2,2,344
358.4,666,88,1,89,0,-0.3,2,345
358.4,671,88,1,89,0,-0.2,2,346
345.6,670,88,1,89,0,-0.1,2,347
358.4,673,88,1,89,0,-0.1,2,348
345.6,673,88,1,89,0,-0.1,2,349
358.4,670,88,1,89,0,-0.1,2,350
358.4,672,88,1,89,0,0,2,351
345.6,671,88,1,89,0,-0.1,2,352
371.2,663,88,1,89,0,-0.1,2,353
371.2,674,88,1,89,0,0,2,354
358.4,670,88,1,89,0,-0.1,2,355
358.4,670,88,1,89,0,-0.1,2,356
371.2,674,88,1,89,0,0.1,1,357
371.2,712,88,1,89,0,0.3,1,358
588.8,970,88,1,89,2,0.7,1,359
704,1246,88,1,89,6,0.8,1,360
652.8,1373,88,1,89,8,0.3,1,361
1036.8,1712,88,1,89,10,0.8,1,362
1318.4,2002,88,1,89,13,0.8,1,363
1305.6,1759,87,2,89,16,0.8,1,364
691.2,1706,87,2,89,17,0,1,365
960,1850,87,2,89,18,0.3,1,366
972.8,1935,87,2,89,19,0.3,1,367
448,1388,87,2,89,19,-0.3,2,368
448,1160,87,3,89,17,-0.8,2,369
448,1032,86,3,89,15,-0.8,2,370
448,956,86,3,89,14,-0.1,1,371
601.6,1113,85,3,89,14,0.1,1,372
716.8,1256,85,3,89,15,0.3,2,373
448,1018,85,3,89,15,-0.1,1,374
396.8,967,85,3,89,15,-0.1,1,375
396.8,940,85,3,89,15,-0.3,2,376
409.6,923,85,3,89,14,-0.2,1,377
435.2,935,85,3,89,14,-0.1,1,378
729.6,1230,85,3,89,14,0.2,1,379
1088,1488,85,3,89,16,0.5,1,380
1574.4,1729,85,3,89,18,0.8,1,381
1792,1791,85,3,89,21,0.9,1,382
1830.4,1698,85,3,89,24,0.8,1,383
806.4,1636,85,3,89,25,0.1,2,384
499.2,1521,85,3,89,24,-0.6,2,385
448,1344,85,3,89,21,-0.9,2,386
435.2,1187,85,3,89,19,-0.5,2,387
396.8,1109,85,3,89,18,-0.2,1,388
512,1184,85,3,89,18,-0.1,1,389
1049.6,1524,85,3,89,18,0.5,1,390
1574.4,1750,86,3,89,21,0.8,1,391
1817.6,1709,86,3,89,24,0.9,1,392
1971.2,1763,86,3,89,27,0.9,1,393
2176,1933,86,3,89,30,1,1,394
2406.4,2150,86,3,89,34,1,1,395
1868.8,2297,86,3,89,37,0.6,1,396
614.4,1862,86,4,89,37,-0.1,1,397
742.4,1850,86,4,89,37,0,1,398
1241.6,1969,86,4,89,37,0.3,1,399
435.2,1603,86,4,89,37,-0.3,2,400
256,1103,86,4,89,36,-0.8,2,401
320,1140,86,4,89,32,-1.5,2,402
307.2,973,85,4,89,26,-1.7,2,403
320,891,85,4,89,21,-1.5,2,404
371.2,972,85,3,89,17,-0.8,2,405
473.6,1083,85,3,89,16,-0.1,1,406
1267.2,1606,85,3,89,17,0.7,1,407
1984,1885,85,3,89,20,1.1,1,408
1894.4,1726,85,3,89,24,0.9,1,409
1881.6,1760,85,3,89,27,0.9,1,410
2086.4,1914,85,3,89,30,0.9,1,411
1228.8,2006,85,3,89,32,0.4,1,412
640,1652,86,4,89,32,0,1,413
1241.6,1695,86,4,89,33,0.4,1,414
1446.4,1667,86,4,89,35,0.5,1,415
1036.8,1716,86,4,89,36,0.2,1,416
358.4,1644,86,4,89,35,-0.4,1,417
921.6,1692,86,4,89,35,0.1,1,418
742.4,1666,86,4,89,35,0,1,419
704,1692,86,4,89,35,-0.1,1,420
268.8,1580,86,4,89,34,-0.5,1,421
396.8,1583,86,4,89,33,-0.3,1,422
870.4,1586,86,4,89,33,0,1,423
281.6,1491,86,4,89,32,-0.4,1,424
1062.4,1573,86,4,89,32,0.3,1,425
806.4,1550,86,4,89,32,0,1,426
1126.4,1629,86,4,89,33,0.2,1,427
1433.6,1645,86,4,89,34,0.4,1,428
742.4,1672,85,4,89,34,-0.1,1,429
1356.8,1726,85,4,89,35,0.4,1,430
908.8,1819,85,4,89,36,0.1,1,431
1344,1906,85,4,89,37,0.3,1,432
947.2,1901,85,4,89,37,0.1,1,433
1459.2,1971,85,4,89,39,0.4,1,434
614.4,1845,85,4,89,39,-0.2,1,435
1356.8,1932,85,4,89,39,0.3,1,436
691.2,1897,85,4,89,40,-0.1,1,437
972.8,1924,85,4,89,39,0.1,1,438
1561.6,1958,85,4,89,41,0.5,1,439
1907.2,2041,85,4,89,42,0.6,1,440
2073.6,2141,85,4,89,44,0.6,1,441
2252.8,2246,85,4,89,47,0.7,1,442
2227.2,2350,85,4,89,49,0.6,1,443
1075.2,2152,85,4,89,50,0.1,1,444
422.4,1687,85,5,89,49,-0.3,1,445
64,1651,85,5,89,48,-0.5,2,446
0,1583,85,5,89,46,-0.6,1,447
0,1515,85,5,89,44,-0.5,1,448
179.2,1464,85,5,89,43,-0.4,1,449
1139.2,1512,85,5,89,42,0.1,1,450
844.8,1464,85,5,89,42,0,1,451
307.2,1363,85,5,89,41,-0.4,1,452
691.2,1461,85,5,89,41,-0.1,1,453
1318.4,1535,85,5,89,41,0.3,1,454
1331.2,1477,85,5,89,42,0.3,1,455
1510.4,1492,85,5,89,43,0.4,1,456
1433.6,1530,85,5,89,44,0.4,1,457
1574.4,1571,85,5,89,45,0.4,1,458
1574.4,1609,85,5,89,47,0.4,1,459
1382.4,1644,85,5,89,48,0.3,1,460
883.2,1654,85,5,89,48,0.1,1,461
1216,1666,85,5,89,48,0.2,1,462
998.4,1671,85,5,89,49,0.1,1,463
384,1609,85,5,89,47,-0.3,1,464
1152,1655,85,5,89,47,0.1,1,465
524.8,1560,86,5,89,46,-0.2,1,466
76.8,1452,86,5,89,44,-0.5,1,467
0,1437,86,5,89,42,-0.5,1,468
358.4,1408,86,5,89,40,-0.3,1,469
1753.6,1691,86,5,89,40,0.3,1,470
1766.4,2135,86,4,89,40,0.4,1,471
358.4,1794,86,4,89,39,-0.4,1,472
499.2,1835,86,4,89,38,-0.2,1,473
870.4,1836,86,4,89,37,-0.1,1,474
1139.2,1879,86,4,89,38,0.1,2,475
243.2,1588,86,4,89,35,-1.5,2,476
0,1411,86,4,89,29,-1.8,2,477
294.4,971,86,4,89,24,-1.6,2,478
422.4,960,86,3,89,17,-2.5,2,479
537.6,901,86,3,89,8,-2.5,2,480
486.4,826,86,1,89,2,-1.3,2,481
435.2,747,86,1,89,0,-0.2,2,482
371.2,675,86,1,89,0,0,2,483
371.2,672,86,1,89,0,0,2,484
358.4,675,86,1,89,0,0,2,485
345.6,666,87,1,89,0,0,2,486
371.2,672,87,1,89,0,0,2,487
345.6,672,87,1,89,0,0,2,488
345.6,673,87,1,89,0,0,2,489
345.6,670,87,1,89,0,0,2,490
345.6,668,87,1,89,0,0,2,491
332.8,668,87,1,89,0,0,2,492
332.8,667,87,1,89,0,0,2,493
332.8,671,87,1,89,0,0,2,494
345.6,664,87,1,89,0,0,2,495
358.4,670,88,1,89,0,0,2,496
345.6,671,88,1,89,0,0,2,497
371.2,674,88,1,89,0,0,2,498
358.4,667,88,1,89,0,0,2,499
371.2,671,88,1,89,0,0,2,500
371.2,670,88,1,89,0,0,2,501
358.4,673,88,1,89,0,0,2,502
371.2,670,88,1,89,0,0,2,503
371.2,671,88,1,89,0,0,2,504
371.2,673,88,1,89,0,0,2,505
384,670,88,1,89,0,0,2,506
371.2,670,88,1,89,0,0,2,507
371.2,672,88,1,89,0,0,2,508
384,671,88,1,89,0,0,2,509
371.2,670,88,1,89,0,0,2,510
384,670,88,1,89,0,0,2,511
371.2,673,88,1,89,0,0,2,512
371.2,669,87,1,89,0,0,2,513
384,669,87,1,89,0,0,2,514
371.2,673,87,1,89,0,0,2,515
371.2,668,87,1,89,0,0,2,516
384,669,87,1,89,0,0,2,517
358.4,670,87,1,89,0,0,2,518
371.2,671,87,1,89,0,0,2,519
371.2,669,87,1,89,0,0,2,520
358.4,669,87,1,89,0,0,2,521
371.2,669,87,1,89,0,0,2,522
384,668,87,1,89,0,0,2,523
358.4,669,87,1,89,0,0,2,524
358.4,669,87,1,89,0,0,2,525
371.2,669,87,1,89,0,0,2,526
371.2,668,87,1,89,0,0,2,527
358.4,674,87,1,89,0,0.2,1,528
537.6,831,87,1,89,0,0.5,1,529
1856,1730,87,1,89,6,2.3,1,530
2534.4,2279,87,1,89,13,1.9,1,531
3840,3236,87,1,89,20,2.2,1,532
4044.8,3313,87,2,89,26,1.8,1,533
4019.2,3237,87,2,89,32,1.7,1,534
4236.8,3610,87,2,89,37,1.4,1,535
3609.6,2881,86,3,90,41,1,1,536
2521.6,2765,86,3,90,44,0.5,1,537
409.6,1712,85,4,90,44,-0.4,2,538
627.2,1380,85,5,90,41,-0.9,2,539
601.6,1289,85,5,90,37,-1.4,2,540
448,1027,85,5,90,32,-1.6,2,541
332.8,930,85,4,90,27,-1.7,2,542
320,870,85,4,90,22,-1.3,2,543
384,966,86,3,90,18,-0.9,2,544
409.6,1028,86,3,90,16,-0.2,1,545
1126.4,1511,86,3,90,17,0.5,1,546
1625.6,1755,87,3,90,19,0.8,1,547
1587.2,1675,87,3,90,22,0.8,1,548
806.4,1540,87,3,90,23,0.2,1,549
1100.8,1623,87,3,90,25,0.4,1,550
1356.8,1694,87,3,90,26,0.6,1,551
793.6,1751,87,3,90,27,0.1,1,552
857.6,1833,87,3,90,27,0.1,1,553
857.6,1861,87,3,90,28,0.1,1,554
1241.6,1987,87,3,90,29,0.4,1,555
934.4,1934,87,3,90,30,0.1,1,556
665.6,1480,86,4,90,29,-0.1,1,557
601.6,1432,86,4,90,29,-0.1,1,558
627.2,1451,86,4,90,29,-0.1,1,559
1984,1984,86,4,90,30,0.8,1,560
2240,2074,86,4,90,33,0.8,1,561
2035.2,1898,86,4,90,35,0.7,1,562
2918.4,2472,86,3,90,37,0.7,1,563
3302.4,2812,86,3,90,41,1.1,1,564
896,2315,86,4,90,42,0,2,565
716.8,1991,86,4,90,41,-0.8,2,566
627.2,1665,86,4,90,34,-2.7,2,567
384,1071,86,4,91,25,-2.6,2,568
384,971,86,3,91,19,-1.1,2,569
460.8,1091,86,3,91,17,-0.2,1,570
396.8,1026,86,3,91,16,-0.2,1,571
371.2,970,86,3,91,15,-0.3,2,572
409.6,923,86,3,91,13,-1,2,573
448,860,86,3,90,9,-1,2,574
460.8,838,86,3,90,7,-0.6,2,575
358.4,798,86,1,90,5,-0.4,2,576
396.8,780,86,1,90,4,0,1,577
409.6,797,86,1,90,4,0,2,578
396.8,768,87,1,90,4,-0.2,2,579
409.6,768,87,1,90,2,-0.5,2,580
435.2,759,87,1,90,0,-0.3,2,581
371.2,686,87,1,90,0,-0.3,2,582
345.6,675,87,1,90,0,0,2,583
371.2,674,87,1,90,0,0,2,584
358.4,676,87,1,90,0,0,2,585
358.4,670,87,1,90,0,0,2,586
345.6,674,87,1,90,0,0,2,587
345.6,669,87,1,90,0,0,2,588
345.6,667,87,1,90,0,0,2,589
332.8,673,87,1,90,0,0,2,590
332.8,670,87,1,90,0,0,2,591
345.6,671,87,1,90,0,0,2,592
345.6,670,87,1,90,0,0,2,593
358.4,667,87,1,90,0,0,2,594
358.4,670,87,1,90,0,0,2,595
358.4,669,87,1,90,0,0,2,596
358.4,669,87,1,90,0,0,2,597
358.4,671,87,1,90,0,0,2,598
358.4,669,87,1,90,0,0,2,599
371.2,669,87,1,90,0,0,2,600
371.2,666,87,1,90,0,0,2,601
371.2,672,87,1,90,0,0,2,602
371.2,680,87,1,90,0,0.2,1,603
396.8,727,87,1,90,0,0.3,1,604
870.4,1224,87,1,90,3,1.2,1,605
1152,1585,87,1,90,8,1.3,1,606
1612.8,2078,87,1,90,12,1.3,1,607
1856,2237,87,1,90,16,1.2,1,608
1804.8,2087,87,2,90,19,1,1,609
1920,2310,87,2,90,23,1,1,610
1164.8,2268,87,2,91,25,0.3,1,611
1280,1796,86,3,91,26,0.4,1,612
